1f610	ポーカーフェイス|無表情|笑えない|顔	neutral face|awkward|blank|deadpan|expressionless|face|fine|jealous|meh|neutral|oh|shade|straight|unamused|unhappy|unimpressed|whatever
1f611	無表情|ふーん|やきもち|無感情|顔	expressionless face|awkward|dead|expressionless|face|fine|inexpressive|jealous|meh|not|oh|omg|straight|uh|unhappy|unimpressed|whatever
1f636	口のない顔|だんまり|口なし|沈黙|無表情|無言|顔	face without mouth|awkward|blank|expressionless|face|mouth|mouthless|mute|quiet|secret|silence|silent|speechless
1fae5	点線の顔|どうでもいい|ふーん|内向的|内気|憂鬱|落胆|顔	dotted line face|depressed|disappear|dotted|face|hidden|hide|introvert|invisible|line|meh|whatever|wtv
1f636-200d-1f32b	雲の中の顔|うわの空|ぼんやり|夢中|放心状態|顔	face in clouds|absentminded|clouds|face|fog|head
1f60f	薄笑いをする顔|にやり|ふっ|顔	smirking face|boss|dapper|face|flirt|homie|kidding|leer|shade|slick|sly|smirk|smug|snicker|suave|suspicious|swag
1f612	しらけた|ジト目|しらけ|しらける|つまらない|やきもち|不満|顔	unamused face|...|bored|face|fine|jealous|jel|jelly|pissed|smh|ugh|uhh|unamused|unhappy|weird|whatever
1f644	上を見る顔|あきれた|うーん|上目|目をむく|顔	face with rolling eyes|eyeroll|eyes|face|rolling|shade|ugh|whatever
1f62c	しかめ面|いー|しかめっ面|しかめ顔|顔	grimacing face|awk|awkward|dentist|face|grimace|grimacing|grinning|smile|smiling
1f62e-200d-1f4a8	息を吐く顔|あきらめ|ため息|ほっとした|安心|息切れ|疲れた|顔	face exhaling|blow|blowing|exhale|exhaling|exhausted|face|gasp|groan|relief|sigh|smiley|smoke|whisper|whistle
1f925	うそつきの顔|ピノキオの顔|嘘|嘘つき|顔	lying face|face|liar|lie|lying|pinocchio
1f60c	ほっとした顔|ほっ|安心|顔	relieved face|calm|face|peace|relief|relieved|zen
1f614	しょぼーん|がっかり|しょんぼり|悲しい|考え込む顔|顔	pensive face|awful|bored|dejected|died|disappointed|face|losing|lost|pensive|sad|sucks
1f62a	眠い|寝る|疲れた|眠そうな顔|眠っている顔|眠る|顔	sleepy face|crying|face|good|night|sad|sleep|sleeping|sleepy|tired
1f924	よだれを垂らした顔|よだれ|顔	drooling face|drooling|face
