ongusutoro-mu	Å
ongusutoroomu	Å
be-ta	β
beeta	β
arufa	α
ganma	γ
deruta	δ
shiguma	Σ
shiguma	σ
pai	π
omega	Ω
omega	ω
mugen	∞
ruuto	√
sekibun	∫
puramain	±
nottoikooru	≠
yakunari	≒
shounari	≤
dainari	≥
